,Index_page,ID,Date_publication,Title_and_author,Language_of_the_work,Word,Chapter,Hits,Requiered_tags,Additionnal_tags
0,86,44483077,23 Jan 2023, Kickstart My Heart by curiouser_n_curiouser ,English,"23,580",21/?,6221,"| Mature| Choose Not To Use Archive Warnings| F/F, F/M, M/M| Work in Progress|","|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie Munson Joyce Byers/Jim ""Chief"" Hopper Robin Buckley & Steve Harrington Jonathan Byers/Nancy Wheeler Steve Harrington & Jim ""Chief"" Hopper Joyce Byers & Steve HarringtonSteve Harrington Eddie Munson Jim ""Chief"" Hopper Joyce Byers Murray Bauman Dmitri Antonov Nancy Wheeler Jonathan Byers Dustin Henderson Maxine ""Max"" Mayfield Will Byers Mike Wheeler Lucas Sinclair Erica Sinclair Eleven | Jane Hopper Argyle (Stranger Things)Hurt Steve Harrington Major Character Injury Vampire Steve Harrington Angst Getting Together Blood and Gore Violence Not Canon Compliant Eddie Munson Lives Post-Traumatic Stress Disorder - PTSD Anxiety Nightmares Hurt/Comfort Brotherly Steve Harrington Steve Harrington Needs a Hug Bisexual Steve Harrington Steve Harrington is a Sweetheart Pansexual Eddie Munson Lesbian Robin Buckley Established Joyce Byers/Jim ""Chief"" Hopper Steve Harrington-centric Steve Harrington Has Bad Parents Eddie Munson Has ADHD Good Parent Joyce Byers Touch-Starved Steve Harrington Eddie Munson Takes Care of Steve Harrington Implied/Referenced Self-Harm Implied/Referenced Child Abuse Steve Harrington Has a Sexuality Crisis Self-Mutilation Self-Harm Good Parent Wayne Munson Slow Burn Gay Eddie Munson Body Horror Seizures Smut Eventual Smut Blood Kink Blood Drinking Kink Exploration Kink Discovery Explicit Sexual Content Dead Dove: Do Not Eat Bottom Steve Harrington Top Steve Harrington Bottom Eddie Munson Top Eddie Munson Biting Sadism Masochism|"
1,86,44482186,23 Jan 2023, Can you Hold me Until I Forget? by arminsupremacy ,English,"1,379",2/?,194,| Mature| Graphic Depictions Of Violence| M/M| Work in Progress|,"|Graphic Depictions Of ViolenceWill Byers/Mike WheelerWill Byers Mike Wheeler The Party (Stranger Things) Joyce Byers Lonnie Byers Jim ""Chief"" Hopper Eleven | Jane Hopper Nancy Wheeler Jonathan ByersWill Byers Needs a Hug Mike Wheeler Loves Will Byers Will Byers Loves Mike Wheeler Implied/Referenced Child Abuse PTSD Will Byers Has PTSD Will Byers Has Nightmares Implied/Referenced Self-Harm Hurt/Comfort Angst Fluff and Angst Eventual Smut Angst with a Happy Ending Will Byers finally let’s his emotions out Will Byers has every right to be angry Boys In Love|"
2,86,43059594,23 Jan 2023, Like You Used To by revengeandotherdrugs ,English,"5,708",2/6,133,| Explicit| Choose Not To Use Archive Warnings| M/M| Work in Progress|,|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie Munson Chrissy Cunningham & Eddie Munson Minor or Background Relationship(s)Eddie Munson Steve Harrington Chrissy Cunningham Robin Buckley Nancy Wheeler Jonathan ByersKid Fic But It's Not Actually His Kid I'm Not The Step Dad I'm The Dad Who Stepped Up Alternate Universe - Everyone Lives/Nobody Dies Or More Accurately only Some People Die Alternate Universe - No Upside Down (Stranger Things) Capital Punishment Post-Traumatic Stress Disorder - PTSD Injury Recovery Past Violence Past Torture Getting Back Together Gay Eddie Munson Marriage of Convenience BAMF Chrissy Cunningham|
3,86,44399380,23 Jan 2023, Four Rules by alternatedoom ,English,"8,696",1/1,471,| Mature| Underage| M/M| Complete Work|,"|UnderageWill Byers & Jim ""Chief"" Hopper Will Byers/Original Male Character(s)Will Byers Jim ""Chief"" HopperStatutory Rape Anal Sex Cruising Public Sex Caught having Sex Homophobic Language Angry Will Byers Good Parent Jim ""Chief"" Hopper Or At Least He's Trying Really Hard Homophobia Internalized Homophobia Not Beta Read Stranger Things Kinkmeme|"
4,86,44482075,23 Jan 2023, Hawkins Will Not Fall by TheNextDoorNerd ,English,"6,815",1/?,195,| Mature| Choose Not To Use Archive Warnings| Gen| Work in Progress|,"|Creator Chose Not To Use Archive WarningsNumber Five | The Boy (Umbrella Academy) & The Party (Stranger Things) Diego Hargreeves & Eleven | Jane Hopper Allison Hargreeves & Vanya Hargreeves | Viktor Hargreeves & Joyce Byers & Murray Bauman Luther Hargreeves & Jim “Chief” Hopper & Dmitri Antonov Klaus Hargreeves & Murray Bauman Klaus Hargreeves & Number Six | Ben Hargreeves Klaus Hargreeves & Will Byers & Jonathan Byers & Mike Wheeler & Argyle The Handler & Lila Pitts Number Five | The Boy & Hazel (Umbrella Academy) Hazel/Agnes Rofa Jonathan Byers/Nancy Wheeler Eleven | Jane Hopper/Mike Wheeler Joyce Byers/Jim ""Chief"" HopperLuther Hargreeves Diego Hargreeves Allison Hargreeves Klaus Hargreeves Number Five | The Boy (Umbrella Academy) Number Six | Ben Hargreeves Vanya Hargreeves | Viktor Hargreeves Lila Pitts Hazel (Umbrella Academy) Agnes Rofa The Handler (Umbrella Academy) Eleven | Jane Hopper Mike Wheeler Will Byers Dustin Henderson Lucas Sinclair Maxine ""Max"" Mayfield Steve Harrington Robin Buckley Nancy Wheeler Eddie Munson Erica Sinclair Argyle (Stranger Things) Jason Carver Joyce Byers Jim ""Chief"" Hopper Murray Bauman Dmitri Antonov Yuri Ismaylov Martin Brenner Henry Creel | One | Vecna Sam Owens (Stranger Things)Crossover Friendship Canon-Typical Violence Post-Traumatic Stress Disorder - PTSD Protective The Hargreeves | Umbrella Academy BAMF The Hargreeves | Umbrella Academy Soft Diego Hargreeves Sober Klaus Hargreeves Number Five | The Boy Needs A Hug Number Five | The Boy Being an Asshole Good Sibling Number Six | Ben Hargreeves Will Byers Deserves Love BAMF Eleven | Jane Hopper Eleven | Jane Hopper Needs a Hug Mike Wheeler Being an Idiot BAMF Nancy Wheeler Eddie Munson is a Sweetheart Maxine ""Max"" Mayfield Needs a Hug Martin Brenner Being an Asshole Not Beta Read|"
5,86,44482087,23 Jan 2023, carve your name into my chest by hexiewrites ,English,"42,868",8/8,7135,| Explicit| No Archive Warnings Apply| M/M| Complete Work|,|No Archive Warnings ApplySteve Harrington/Eddie MunsonSteve Harrington Eddie Munson Gareth (Stranger Things) Jeff (Stranger Things) Archie (Stranger Things) Robin Buckley Nancy Wheeler Jason CarverHockey Alternate Universe - Hockey Alternate Universe - Modern Setting Enemies to Lovers Fuckbuddies Hate Sex Enemies to Fuckbuddies to Friends to Lovers Soft Dom Steve Harrington Smut Anal Sex Blow Jobs Homophobia Internalized Homophobia Slurs Typical Hockey Violence Alternate Universe - No Upside Down (Stranger Things) POV Eddie Munson hockey player eddie munson Hockey Player Steve Harrington Switch Eddie Munson Switch Steve Harrington Minor Robin Buckley/Nancy Wheeler idiots to lovers|
6,86,17794088,23 Jan 2023, Mastermind by citrusmuppet ,English,"18,587",3/?,429,| Mature| Choose Not To Use Archive Warnings| M/M| Work in Progress|,"|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie Munson Robin Buckley/Nancy Wheeler Joyce Byers/Jim ""Chief"" HopperSteve Harrington Eddie Munson Robin Buckley Nancy Wheeler Joyce Byers Jim ""Chief"" Hopper Jonathan Byers Will Byers Dustin Henderson Maxine ""Max"" Mayfield Argyle (Stranger Things) Gareth (Stranger Things) Jeff (Stranger Things) Unnamed Freak (Stranger Things) Dmitri Antonov Yuri Ismaylov Murray Bauman Chrissy CunninghamAlternate Universe - Modern Setting Con Artist Steve Harrington Rock Star Eddie Munson Las Vegas Based on a Taylor Swift Song Robin Buckley & Steve Harrington Are Best Friends Steve Harrington is Dustin Henderson's Parent The Las Vegas Hotel is called 'The Lab' Chrissy Cunningham & Eddie Munson Friendship Past Domestic Violence Past Steve Harrington/Nancy Wheeler Past Billy Hargrove/Steve Harrington not beta'd we die like anyone with a 'b'|"
7,86,43855402,23 Jan 2023, Random Stuff with Random People by Skates ,English,729,4/?,31,"| Not Rated| Choose Not To Use Archive Warnings| F/F, F/M, Gen, M/M, Multi| Work in Progress|",|Creator Chose Not To Use Archive Warningsgay shit - Relationship not gay shit no shit at allI’m not listing them all here just look at the fandomsrandom shit headcannons non-canonical stuff canonical stuff gender stuff Sexuality Stuff funny stuff Lots of Stuff Thought dump Angst Fluff Hurt No Comfort good stuff bad stuff Death Self Harm Mental Illness Gender Dysphoria|
8,86,44482609,23 Jan 2023, say you'll live for me by Knight_of_Tartarus ,English,"63,885",29/29,8491,"| Not Rated| Rape/Non-Con, Choose Not To Use Archive Warnings| M/M, Multi| Complete Work|","|Rape/Non-Con Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie Munson Robin Buckley & Steve Harrington Steve Harrington & The Party Steve Harrington & Maxine ""Max"" Mayfield Robin Buckley & Chrissy Cunningham & Steve Harrington & Eddie Munson Robin Buckley/Chrissy Cunningham Jonathan Byers/Nancy Wheeler Billy Hargrove/Steve Harrington Billy Hargrove & Maxine ""Max"" Mayfield Steve Harrington & Everyone Eddie Munson & The Party Steve Harrington & Eddie Munson & Wayne Munson Steve Harrington & Dustin HendersonSteve Harrington Steve Harrington's Parents Eddie Munson Wayne Munson Vecna (Stranger Things) Robin Buckley The Party (Stranger Things)Onesided Billy Hargrove/Steve Harrington Nightmares Stranger Things Spoilers Not Canon Compliant Inspired by Music Bisexual Steve Harrington Gay Eddie Munson Steve Harrington Needs a Hug Steve Harrington Has Bad Parents Steve Harrington Has Head Trauma Hurt Steve Harrington Steve Harrington is Not Okay Steve Harrington Has Nightmares Maxine ""Max"" Mayfield Needs a Hug Steve Harrington & Maxine ""Max"" Mayfield Have a Sibling Relationship Protective Maxine ""Max"" Mayfield Eddie Munson is a Sweetheart Suicide Attempt Suicidal Thoughts Protective Steve Harrington Protective Eddie Munson Self-Worth Issues Self-Hatred Vecna Possessing Steve Harrington Mental Health Issues POV Steve Harrington POV Eddie Munson POV Alternating POV Multiple Eating Disorders Somebody Lives/Not Everyone Dies Period-Typical Homophobia Major Character Injury Temporary Character Death Character Death this series will end on a happy note I promise!|"
9,86,42848958,23 Jan 2023, Patient 000 (Vol 1) by marvel_hiddles_2981 ,English,"22,260",5/?,607,"| Explicit| Graphic Depictions Of Violence, Major Character Death| F/M, Gen, Other| Work in Progress|","|Graphic Depictions Of Violence Major Character DeathHenry Creel | One | Vecna & Original Female Character(s) Henry Creel | One | Vecna & Original Character(s) Henry Creel | One | Vecna/Original Female Character(s) Eleven | Jane Hopper & Original Character(s) Henry Creel | One | Vecna/YouHenry Creel | One | Vecna Martin Brenner Two (Stranger Things) Eleven | Jane Hopper Sam Owens (Stranger Things) Original Experiment Character(s) (Stranger Things) Jim ""Chief"" Hopper Kali Prasad Alice Creel Virginia Creel Victor CreelHenry Creel | One | Vecna Needs a Hug Manipulative Henry Creel | One | Vecna Sub Henry Creel | One | Vecna Dom Henry Creel | One | Vecna Enemies to Friends to Lovers Slow Burn Fluff and Smut Angst and Fluff and Smut Implied/Referenced Dubious Consent Dom/sub Masochism Eventual Smut Eventual Romance Eleven | Jane Hopper Needs a Hug Psychic Abilities Psychic Violence Psychological Torture Implied/Referenced Torture Implied/Referenced Child Abuse Emotional Manipulation Alternate Universe - Canon Divergence Suicidal Thoughts Implied/Referenced Character Death Implied/Referenced Suicide Self-Harm Canon-Typical Violence Character Death Hawkins (Stranger Things) Hawkins National Laboratory (Stranger Things) Loss of Virginity Loss of Innocence Corruption Heavy Angst Cunnilingus Developing Relationship Young Love Secret Relationship Henry being cryptic Sorry in advance for inconsistent updates It Gets Worse Before It Gets Better Dacryphilia Shameless Smut Martin Brenner Being an Asshole Sexual Inexperience Touch-Starved Author hasn't decided on good or bad ending Slow Build Suicide Attempt Pregnancy trope BUT IT'S NOT WHAT YOU THINK I PROMISE varying chapter lengths im sorry Breeding Henry Creel | One | Vecna is His Own Warning Horny Teenagers|"
