,Index_page,ID,Date_publication,Title_and_author,Language_of_the_work,Word,Chapter,Hits,Requiered_tags,Additionnal_tags
0,66,44545153,26 Jan 2023, That time at The Hideout by FableMae ,English,"1,743",1/1,682,| Explicit| Choose Not To Use Archive Warnings| F/M| Complete Work|,|Creator Chose Not To Use Archive WarningsChrissy Cunningham/Eddie MunsonEddie Munson Chrissy CunninghamSmut Semi-Public Sex Oral Sex Dirty Talk the hideout Corroded Coffin Concert (Stranger Things) hellcheer - Freeform Eddissy Praise Kink Blow Jobs Dom/sub Light Dom/sub Eddie Munson Has a Hair-Pulling Kink One Shot Established Relationship Bathroom Sex|
1,66,44425477,26 Jan 2023, this sunrise had a name by turttleszn ,English,"34,382",6/?,376,"| Explicit| Graphic Depictions Of Violence| F/F, M/M| Work in Progress|",|Graphic Depictions Of ViolenceEddie Munson/Original Character(s) Steve Harrington & Eddie Munson Nancy Wheeler & Original Male Character(s) Robin Buckley & Original Male Character(s) Eddie Munson/Original Male Character(s)Jay Morgan (OC) Eddie Munson Steve Harrington Robin Buckley Nancy Wheeler Dustin Henderson The Party (Stranger Things)The Upside Down (Stranger Things) more survival horror Slow Burn like lets just develop a relationship Sleep Deprivation Dustin Henderson is the Best Eddie Munson Lives POV Multiple Schrödinger's Canon|
2,66,44543752,25 Jan 2023," The sun keeps creeping in, sinking in by violetsteve ",English,"5,061",1/1,2160,| Mature| No Archive Warnings Apply| M/M| Complete Work|,|No Archive Warnings ApplySteve Harrington/Eddie MunsonSteve Harrington Eddie Munson Robin BuckleyAlternate Universe - Canon Divergence Getting Together First Kiss Making Out this fic is like 10 percent steve talking about his feelings to robin and 90 percent steve and eddie making out|
3,66,43306248,25 Jan 2023, the monster’s gone (he’s on the run) by cunninghams ,English,"2,691",1/1,777,| Teen And Up Audiences| No Archive Warnings Apply| F/M| Complete Work|,|No Archive Warnings ApplyChrissy Cunningham/Eddie MunsonChrissy Cunningham Eddie Munson Original Male Character(s)canon divergence post vecna Post-Vecna (Stranger Things) Slice of Life Domestic Fluff Angst Family Feels boy dad!eddie munson eddie’s kid gets suspended It Spirals from There chrissy is protective of her boys Eddie is trying his best Future Fic|
4,66,44545423,26 Jan 2023, Got To Get You Into My Life by keerysbong ,English,"2,306",1/1,50,"| Teen And Up Audiences| Choose Not To Use Archive Warnings| Gen, M/M| Complete Work|",|Creator Chose Not To Use Archive WarningsArgyle & Jonathan Byers Argyle/Jonathan ByersJonathan Byers Argyle (Stranger Things)could be read as platonic or romantic Recreational Drug Use Marijuana Jonathan is socially awkward Cameras First Meetings Could Be Canon Pre-Season/Series 04 Argyle has ADHD because I’m projecting|
5,66,44545300,26 Jan 2023," the redhead, the metalhead, and the meathead by azulabay ",English,"1,666",1/1,343,| Teen And Up Audiences| No Archive Warnings Apply| Gen| Complete Work|,"|No Archive Warnings ApplySteve Harrington & Maxine ""Max"" Mayfield Steve Harrington/Eddie MunsonSteve Harrington Maxine ""Max"" Mayfield Eddie MunsonMaxine ""Max"" Mayfield Needs a Hug And Gets One Fluff And a little bit of angst as a treat steve loves being a babysitter Steve Harrington is a Sweetheart Movie: The Karate Kid (1984) i found out when microwaves were invented because of this fic jiffy pop Steve's love language is acts of service they are my comfort characters your honor Eddie Munson Lives almost forgot that one so technically Alternate Universe - Canon Divergence no beta we die like eddie Post-Vecna (Stranger Things) the title is unserious eddie calling steve ""stevie"" can be so personal Established Relationship|"
6,66,41648538,25 Jan 2023, I’m a Wreck (Without You Here) by TalkingToTheLights ,English,"33,474",8/?,1379,| Mature| Major Character Death| M/M| Work in Progress|,|Major Character DeathWill Byers/Mike Wheeler Mike Wheeler & Nancy Wheeler Holly Wheeler & Mike WheelerMike Wheeler Will Byers Holly Wheeler Karen Wheeler Nancy Wheeler Jonathan ByersMike Wheeler is a Mess Gay Mike Wheeler Slow Burn Slice of Life Wakes & Funerals Character Death Self-Esteem Issues Grief/Mourning Self-Hatred Emotional Baggage Emotional Hurt Implied/Referenced Drug Use Alcohol Abuse/Alcoholism Substance Abuse Underage Drinking Suicidal Thoughts Regret Angst Angst and Hurt/Comfort Internalized Homophobia Period-Typical Homophobia Flashbacks Miscommunication Historical Accuracy Historical References Unreliable Narrator Mike Wheeler-centric The Love Is Requited They’re Just Idiots No Smut Sexual Tension Minor Original Character(s) Aged-Up Character(s) Post-Canon Canon Divergence Not Beta Read Heed the tags!|
7,66,44545456,25 Jan 2023, you walk a fine line (between god and animal) by mrsjoycehopper ,English,"39,566",1/2,416,| Mature| Graphic Depictions Of Violence| M/M| Work in Progress|,|Graphic Depictions Of ViolenceBilly Hargrove/Steve HarringtonBilly Hargrove Steve Harrington Billy Hargrove's Mother background Hellcheer - Character Heather Holloway Robin Buckley Eddie Munson Chrissy Cunninghamit's giving SOA vibes ngl Angst Dark No Vecna (Stranger Things) not much stranger anything going on to be honest OOC - tagging it just incase lol Angst with a Happy Ending A gang? Here in Hawkins? It’s what it is|
8,66,44546614,26 Jan 2023, you've never held me to a filter by spacedisco ,English,"4,340",1/1,373,| Teen And Up Audiences| No Archive Warnings Apply| Gen| Complete Work|,|No Archive Warnings ApplyRobin Buckley & Steve HarringtonRobin Buckley Steve HarringtonCharacter Study POV Robin Buckley Platonic Soulmates Robin Buckley & Steve Harrington Robin Buckley & Steve Harrington Are Best Friends Post-Season/Series 03 Pre-Season/Series 04 in that weird limbo where you find your platonic soulmate but feel weird about it does my supposed platonic soulmate also think we are soulmates or am i just crazy Angst with a Happy Ending|
9,66,41724729,26 Jan 2023, Dystopian Things by heartsforbyler ,English,657,1/?,34,"| Not Rated| Choose Not To Use Archive Warnings| F/F, F/M, M/M| Work in Progress|","|Creator Chose Not To Use Archive WarningsWill Byers/Mike Wheeler Eleven | Jane Hopper & Lucas Sinclair Eleven | Jane Hopper & Mike Wheeler Eleven | Jane Hopper/Maxine ""Max"" Mayfield Dustin Henderson/Lucas SinclairWill Byers Mike Wheeler Eleven | Jane Hopper Lucas Sinclair Dustin Henderson Nancy Wheeler Jonathan Byers Joyce Byers Jim ""Chief"" Hopper Steve Harrington Robin Buckley Martin Brenner Sam Owens (Stranger Things)|"
10,66,43542586,25 Jan 2023, miscellaneous by sweetladyjane ,English,"137,757",87/87,1470,"| Not Rated| Choose Not To Use Archive Warnings| F/F, F/M, Gen, M/M, Multi, Other| Complete Work|",|Creator Chose Not To Use Archive WarningsTangerine (Bullet Train) The White Death (Bullet Train) Lemon (Bullet Train) The Elder (Bullet Train) Alexei Kirillovich Vronsky Alexander Kirillovich Vronsky Eddie Munson|
