,Index_page,ID,Date_publication,Title_and_author,Language_of_the_work,Word,Chapter,Hits,Requiered_tags,Additionnal_tags
0,26,44500864,30 Jan 2023, and it’s a song you know by loveinhawkins ,English,"1,562",1/1,389,| General Audiences| No Archive Warnings Apply| Gen| Complete Work|,|No Archive Warnings ApplyDustin Henderson & Eddie Munson Steve Harrington/Eddie MunsonDustin Henderson Eddie Munson Steve HarringtonPre-Steve Harrington/Eddie Munson Dustin Henderson & Eddie Munson Friendship Found Family Gay Eddie Munson Character Study Protective Dustin Henderson Writer Eddie Munson songwriter eddie munson Romantic Eddie Munson Mild Hurt/Comfort Implied/Referenced Homophobia Originally Posted on Tumblr POV Dustin Henderson|
1,26,44653189,31 Jan 2023, Sit With You In The Trenches by viharker ,English,"3,850",1/1,469,| Explicit| No Archive Warnings Apply| F/M| Complete Work|,"|No Archive Warnings ApplyChrissy Cunningham/Eddie MunsonChrissy Cunningham Eddie Munson Jim ""Chief"" Hopper Laura Cunningham Andy (Stranger Things) Chance (Stranger Things)Alpha/Beta/Omega Dynamics Omegaverse Alpha!Eddie Omega!Chrissy Omega Chrissy Cunningham Alpha Eddie Munson Romance Smut Angst I Love You Protective Chrissy Cunningham Protective Eddie Munson hellcheer - Freeform Alpha Jim ""Chief"" Hopper|"
2,26,44653972,30 Jan 2023, Call My Bluff by viharker ,English,"6,679",4/?,386,| Mature| No Archive Warnings Apply| F/M| Work in Progress|,|No Archive Warnings ApplyEden Bingham/Jason Carver Jason Carver/Chrissy Cunningham Chrissy Cunningham/Eddie MunsonEden Bingham Jason Carver Eddie Munson Chrissy Cunningham Suzie Bingham Mr. Bingham (Stranger Things)No Vecna (Stranger Things) Alternate Universe - No Upside Down (Stranger Things) gothbasket gothbaskets idk what we're calling it Bullying Teen Romance Teen Angst hellcheer - Freeform platonic eddie x eden|
3,26,42326040,30 Jan 2023, I'm afraid I can't catch you (I'm falling too) by lia (liastories) ,English,"13,275",8/?,864,| General Audiences| Choose Not To Use Archive Warnings| M/M| Work in Progress|,"|Creator Chose Not To Use Archive WarningsWill Byers/Mike WheelerWill Byers Mike Wheeler Eleven | Jane Hopper Maxine ""Max"" Mayfield Lucas Sinclair Dustin Henderson Joyce Byers Jim ""Chief"" HopperSiblings Will Byers & Eleven | Jane Hopper The Party in High School (Stranger Things) Miscommunication Maxine ""Max"" Mayfield & Mike Wheeler Friendship Gay Will Byers Married Joyce Byers/Jim ""Chief"" Hopper happy family with shared trauma Good Friend Lucas Sinclair Will Byers Needs a Hug Eleven | Jane Hopper Without Powers Underage Smoking childhood best friends who grew apart Gay Panic Mike Wheeler Misses Will Byers they just need to talk things out sort of coming of age Angst with a Happy Ending elmax so slow burn that you have to squint to see the hints at first|"
4,26,43707168,30 Jan 2023," sun down, you’re up by tkhwh ",English,"1,604",1/1,2372,| Explicit| Choose Not To Use Archive Warnings| M/M| Complete Work|,|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie MunsonSteve Harrington Eddie MunsonPlot What Plot/Porn Without Plot Trans Eddie Munson ftm eddie munson Top Steve Harrington Dom Steve Harrington Bottom Eddie Munson Sub Eddie Munson Consensual Somnophilia Steve Harrington Has a Breeding Kink Vaginal Sex Multiple Orgasms excessive use of the work fuck i think use of the word cunt and pussy if thats not your thing author is transmasc|
5,26,44653099,30 Jan 2023, Big boy season by Magicalgirlbraincollector ,English,"3,400",4/?,1238,| Explicit| Choose Not To Use Archive Warnings| F/M| Work in Progress|,|Creator Chose Not To Use Archive WarningsChrissy Cunningham/Eddie MunsonChrissy Cunningham Eddie Munson Corroded Coffin (Stranger Things) Wayne MunsonWeight Gain Belly Kink Feeding Kink Hand Feeding feederism feedee Eddie Munson feeder Chrissy Cunningham Established Chrissy Cunningham/Eddie Munson Married Life Background Gareth (stranger things)/Jeff (stranger things) Unnamed freak is named Simon :-))|
6,26,42934956,30 Jan 2023, Nothing’s Gonna Stop Us Now by ashestoashes1 ,English,"56,513",9/?,1507,"| Mature| Choose Not To Use Archive Warnings| M/M, Other| Work in Progress|","|Creator Chose Not To Use Archive WarningsSteve Harrington/Eddie MunsonSteve Harrington Eddie Munson Robin Buckley Nancy Wheeler Jonathan Byers Dustin Henderson Maxine ""Max"" Mayfield Eleven | Jane Hopper Mike Wheeler Lucas Sinclair Corroded Coffin (Stranger Things) Wayne Munson Steve Harrington's ParentsHurt Steve Harrington Gay Eddie Munson Bisexual Steve Harrington Steve Harrington Needs a Hug Robin Buckley & Steve Harrington Are Best Friends Friends to Lovers Eventual Smut Eddie Munson Has a Crush on Steve Harrington Steve Harrington - Freeform Steve Harrington Has Bad Parents Steve Harrington Has a Crush on Eddie Munson Fluff and Angst Corroded Coffin Concert (Stranger Things)|"
7,26,44427949,30 Jan 2023, peanut butter jelly sweet by jubilantly ,English,"10,899",1/1,106,| Teen And Up Audiences| No Archive Warnings Apply| F/F| Complete Work|,|No Archive Warnings ApplyRobin Buckley/Vickie Robin Buckley & Steve HarringtonRobin Buckley Vickie (Stranger Things) Steve HarringtonPost-Season/Series 04 Getting Together|
8,26,44653870,30 Jan 2023, When The World Stopped Moving by mr200810 ,English,"12,560",2/15,153,| Explicit| Choose Not To Use Archive Warnings| F/M| Work in Progress|,"|Creator Chose Not To Use Archive WarningsEddie Munson/Original Female Character(s) Eddie Munson & Original Female Character(s)Eddie Munson Original Female Character(s) Steve Harrington Robin Buckley Nancy Wheeler Dustin Henderson Mike Wheeler Lucas Sinclair Will Byers Eleven | Jane Hopper Gareth (Stranger Things) Jim ""Chief"" Hopper Joyce Byers Murray Bauman Maxine ""Max"" Mayfield Wayne MunsonInspired by Stranger Things (TV 2016) Not Canon Compliant - Stranger Things 4 Vol. 2 Post-Season/Series 04 Drama & Romance Eventual Smut Love Emotional Hurt/Comfort Implied/Referenced Child Abuse Alternate Universe - Canon Divergence Eddie Munson Needs a Hug Eddie Munson Lives Found Family Angst Danger The Upside Down (Stranger Things) Eddie Munson Smut Angst and Drama Series|"
9,26,44654512,30 Jan 2023, There's Nothing Like This by viharker  for AmandaAshPlease ,English,"2,686",1/?,260,| Explicit| No Archive Warnings Apply| F/M| Work in Progress|,|No Archive Warnings ApplyChrissy Cunningham/Eddie Munson Jason Carver/Chrissy CunninghamChrissy Cunningham Eddie Munson Billy Hargrove Jason Carver Laura CunninghamRomance Alternate Universe - Bodyguard Bodyguard Romance Bodyguard Age Difference Alternate Universe - Modern Setting Popstar Chrissy Cunningham No Vecna (Stranger Things) Alternate Universe - No Upside Down (Stranger Things) Bodyguard Eddie Munson Dysfunctional Family Other Additional Tags to Be Added Movie Star Jason Carver Bodyguard Billy Hargrove Not Jason Carver Friendly|
10,26,44650822,30 Jan 2023, Hellcheer nsfw Alphabet by Anonymous    ,English,"2,944",1/1,264,| Explicit| Choose Not To Use Archive Warnings| F/M| Complete Work|,|Creator Chose Not To Use Archive WarningsChrissy Cunningham/Eddie MunsonChrissy Cunningham Eddie MunsonMentioned Jason Carver - Freeform Chrissy Cunningham Lives Past Jason Carver/Chrissy Cunningham Eddie Munson Has a Crush on Chrissy Cunningham Chrissy Cunningham Has a Crush on Eddie Munson Eddie Munson - Freeform|
11,26,43898448,30 Jan 2023," From broken pieces, came family by EmeraldEyes98 ",English,"1,100",2/?,31,| Mature| Graphic Depictions Of Violence| M/M| Work in Progress|,"|Graphic Depictions Of ViolenceBilly Hargrove/Steve Harrington/Eddie Munson/Original Male Character(s) Robin Buckley/Original Female Character(s) Dustin Henderson/Original Female Character(s) Will Byers/Original Male Character(s) Maxine ""Max"" Mayfield/Lucas Sinclair Eleven | Jane Hopper/Mike Wheeler Joyce Byers/Jim ""Chief"" Hopper Original Female Character(s)/Original Male Character(s) Jonathan Byers/Nancy Wheeler/Original Male Character(s) Barbara ""Barb"" Holland/Original Female Character(s) Other Relationship Tags to Be AddedCanon Character(s) Original Character(s) - Character Original Experiment Character(s) (Stranger Things)Alternate Universe - Soulmates Soulmates Soulmate-Identifying Marks Romantic Soulmates Idiots in Love Love at First Sight Falling In Love Getting to Know Each Other Getting Together Love Confessions Anal Sex Strap-Ons Rough Sex Sex Toys Gay Sex Foursome - M/M/M/M Implied/Referenced Torture Past Torture Gay Billy Hargrove Soft Billy Hargrove Billy Hargrove Lives Bottom Billy Hargrove Eddie Munson Lives Gay Eddie Munson Soft Eddie Munson Switch Eddie Munson Protective Billy Hargrove Protective Eddie Munson Eddie Munson is a Sweetheart Billy Hargrove is a Sweetheart Steve Harrington is a Sweetheart Soft Steve Harrington Protective Steve Harrington Bottom Steve Harrington Other Additional Tags to Be Added|"
12,26,43503057,30 Jan 2023, Alone On Thanksgiving? Mad At Your Mom? by Anonymous    ,English,"7,461",2/?,587,| General Audiences| No Archive Warnings Apply| F/M| Work in Progress|,|No Archive Warnings ApplyChrissy Cunningham/Eddie MunsonChrissy Cunningham Chrissy Cunningham's Brother Eddie Munson Argyle (Stranger Things) Laura Cunningham Phillip Cunningham Jason CarverBased on the Alone On Thanksgiving? Mad At Your Parents? craigslist ad Modern AU (I know I'm sorry but I needed Craigslist and couldn't figure out a 1980s alternative) Chrissy & Argyle friendship She needs some decent friends and he's got a knack with sad Midwesterners Bad Parent Laura Cunningham (what else is new?) Past Jason Carver/Chrissy Cunningham Mentions of Eating Disorder Not in depth but still referenced Bisexual Eddie Munson Bisexual Chrissy Cunningham Mentions of republicanism Chrissy waited until she was a legal adult and 2100 miles away to finally be like 'Okay so- do I like girls??' for a reason Eddie heard 'I need my ex to give up on me and my parents to cut contact with me' and went 'MY TIME HAS COME.' Fake/Pretend Relationship Strangers to Friends to Lovers|
